Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
5,105,166.880,42.656,0,1.793,1.267,2.036,3.628,7.067,0.015
5,106,166.860,41.747,0,1.922,1.267,2.033,3.607,6.969,0.016
5,107,166.882,40.942,0,2.018,1.337,2.262,4.243,8.653,0.022
5,108,166.843,40.136,0,2.000,1.336,2.240,4.145,8.304,0.016
5,109,166.882,39.290,0,1.922,1.291,2.111,3.832,7.599,0.015
5,110,166.858,38.459,0,1.898,1.273,2.055,3.690,7.263,0.019
5,111,166.951,37.560,0,1.794,1.261,2.032,3.657,7.246,0.019
5,112,167.063,36.797,0,1.986,1.336,2.278,4.344,9.083,0.011
5,113,167.038,35.852,0,2.029,1.348,2.315,4.440,9.318,0.017
5,114,167.129,35.060,0,2.025,1.362,2.320,4.357,8.843,0.010
5,115,167.130,34.199,0,1.929,1.310,2.164,3.953,7.848,0.012
5,116,167.117,33.405,0,1.920,1.302,2.139,3.894,7.729,0.018
5,117,167.069,32.597,0,1.896,1.292,2.105,3.791,7.425,0.015
5,118,167.199,31.751,0,2.073,1.334,2.225,4.081,8.080,0.014
5,119,167.243,31.020,0,2.014,1.338,2.240,4.126,8.195,0.015
5,120,167.288,30.166,0,1.996,1.280,2.050,3.589,6.749,0.013
5,121,167.300,29.431,0,2.048,1.265,2.009,3.504,6.610,0.011
5,122,167.268,28.676,0,1.990,1.276,2.045,3.606,6.876,0.022
5,123,167.325,27.905,0,1.974,1.307,2.131,3.791,7.207,0.018
5,124,167.395,27.118,0,2.039,1.314,2.152,3.858,7.429,0.020
5,125,167.356,26.429,0,2.010,1.252,1.962,3.359,6.178,0.010
5,126,167.449,25.685,0,1.976,1.249,1.958,3.354,6.176,0.015
5,127,167.516,24.968,0,1.977,1.318,2.170,3.902,7.505,0.014
6,0,131.490,103.161,0,1.977,1.345,2.238,4.068,7.909,0.017
6,1,131.487,106.488,0,1.879,1.330,2.184,3.903,7.438,0.027
6,2,131.568,109.682,0,1.853,1.324,2.172,3.890,7.458,0.021
6,3,131.702,112.876,0,1.857,1.333,2.201,3.955,7.576,0.028
6,4,131.681,116.062,0,2.208,1.380,2.357,4.415,8.876,0.018
6,5,131.845,119.298,0,1.956,1.361,2.305,4.302,8.666,0.022
6,6,131.928,122.585,0,2.060,1.371,2.367,4.537,9.464,0.020
6,7,132.004,125.819,0,1.736,1.343,2.288,4.344,9.011,0.016
6,8,131.970,128.786,0,1.743,1.371,2.380,4.622,9.820,0.015
6,9,131.925,131.481,0,1.803,1.306,2.149,3.913,7.752,0.018
6,10,131.812,133.786,0,1.828,1.344,2.245,4.105,8.054,0.026
6,11,131.999,135.335,0,1.755,1.326,2.232,4.185,8.589,0.018
6,12,131.898,136.535,0,1.768,1.286,2.084,3.728,7.236,0.017
6,13,132.025,137.466,0,1.834,1.329,2.235,4.189,8.592,0.023
6,14,132.295,138.131,0,1.711,1.315,2.159,3.883,7.507,0.021
6,15,132.309,138.521,0,1.836,1.245,1.944,3.317,6.087,0.015
6,16,132.357,137.826,0,1.838,1.297,2.115,3.800,7.378,0.021
6,17,132.302,136.413,0,1.865,1.277,2.042,3.578,6.753,0.012
6,18,132.378,134.458,0,1.653,1.281,2.043,3.556,6.634,0.017
6,19,132.416,132.215,0,1.848,1.314,2.146,3.822,7.279,0.019
6,20,132.617,129.886,0,1.763,1.335,2.222,4.050,7.920,0.015
6,21,132.929,127.525,0,1.773,1.365,2.365,4.575,9.677,0.009
6,22,133.117,125.229,0,1.939,1.361,2.305,4.287,8.588,0.026
6,23,133.203,123.305,0,2.028,1.359,2.306,4.317,8.752,0.020
6,24,133.197,121.630,0,2.119,1.350,2.288,4.296,8.768,0.016
6,25,133.316,120.203,0,2.314,1.353,2.275,4.188,8.279,0.014
6,26,133.270,119.134,0,2.333,1.396,2.419,4.610,9.467,0.018
6,27,133.331,118.080,0,2.173,1.413,2.489,4.840,10.163,0.024
6,28,133.202,117.021,0,2.168,1.393,2.434,4.706,9.850,0.020
6,29,133.071,116.128,0,2.139,1.387,2.413,4.645,9.696,0.019
6,30,132.942,115.355,0,2.131,1.376,2.368,4.512,9.326,0.023
6,31,132.850,114.591,0,2.120,1.334,2.212,4.013,7.819,0.020
6,32,132.808,113.770,0,2.162,1.348,2.255,4.127,8.101,0.022
6,33,132.912,112.870,0,2.073,1.394,2.473,4.918,10.713,0.013
6,34,132.994,111.982,0,2.068,1.406,2.501,4.959,10.702,0.016
6,35,132.943,111.162,0,2.026,1.371,2.356,4.481,9.240,0.013
6,36,132.851,110.303,0,2.000,1.355,2.302,4.327,8.825,0.022
6,37,132.903,109.522,0,1.907,1.370,2.387,4.656,9.958,0.015
6,38,133.034,108.533,0,1.904,1.312,2.197,4.120,8.506,0.023
6,39,132.857,107.678,0,2.016,1.354,2.282,4.232,8.464,0.018
6,40,132.966,106.760,0,1.872,1.374,2.408,4.740,10.246,0.018
